类型,协议方法/事件,方向,TUI 处理,IDE/stdio 支持,SessionUpdate tag,⚠️ TUI vs stdio 不一致,备注
,,,,,,
"# ACP Request 方法（TUI → Server）",,,,,,,
Request,initialize,TUI → Server,协议握手,支持,,"⚠️ Stdio initialize 响应必须声明与 TUI AcpServerConfig 对齐的 session capabilities",返回 capabilities
Request,session/new,TUI → Server,创建 session + frozen data + AvailableCommandsUpdate,支持,,"",冻结 system prompt/claude_md/skills/date/language
Request,session/prompt,TUI → Server,提交用户输入/Slash Command,支持,,"",executor 拦截 / 前缀命令
Request,session/load,TUI → Server,加载历史 session,支持,,"",从 ThreadStore 读取 history
Request,session/list,TUI → Server,列出所有 session,支持,,"",支持 cwd 过滤
Request,session/close,TUI → Server,关闭 session + cancel token,支持,,"",
Request,session/resume,TUI → Server,恢复已有 session,支持,,"",
Request,session/fork,TUI → Server,分叉 session（复制 history 到新 thread）,支持,,"",
Request,session/set_model,TUI → Server,切换模型（通过 alias）,支持,,"",持久化到 config
Request,session/set_mode,TUI → Server,切换权限模式,支持,,"",
Request,session/set_config_option,TUI → Server,统一配置选项,支持,,"",configId: mode/model/thinking_effort/context_1m
Request,session/update_config,TUI → Server,更新完整 PeriConfig,支持,,"",Login 面板 CRUD
Notification,session/cancel,TUI → Server,取消 Agent 执行,支持,,"",取消 cancel_token
Response,session/request_permission,Server → TUI → Server,HITL 审批交互,支持,,"⚠️ Stdio 通过 PrintBroker 自动批准所有审批；TUI 展示审批 UI 等待用户操作",TUI 展示审批 UI，用户批准/拒绝后 send_response 回传
Response,elicitation/create,Server → TUI → Server,AskUserQuestion 交互,支持,,"⚠️ Stdio 通过 PrintBroker 自动回答；TUI 展示问答 UI 等待用户操作",TUI 展示问答 UI，用户回答后 send_response 回传
,,,,,,
"# ACP Notification（Server → 前端）",,,,,,,
Notification,session/update,Server → TUI,handle_session_update_peri,支持（StdioEventSink 直接发送 SessionNotification）,多种 tag,"⚠️ TUI 从 payload 反序列化 JSON；Stdio 通过 SDK SessionNotification 发送结构化对象",承载所有 SessionUpdate 变体
Notification,peri/agent_event,Server → TUI,map_executor_event（类别②③）,不发送,,"⚠️ Stdio 不发送此通知；Category ③ 事件（StateSnapshot/SubAgent/Compact 等）对 stdio 不可见",原始 ExecutorEvent JSON 序列化
Notification,peri/agent_event_done,Server → TUI,触发 AgentEvent::Done,不发送,,"⚠️ Stdio 无此信号；依赖 executor 内部 await 结束",Agent 执行结束信号
